customer_id,first_order_date,last_order_date,total_orders,total_spend,country
12346,2009-12-14,2011-01-18,12,77556.46,United Kingdom
12347,2010-10-31,2011-12-07,8,5633.32,Iceland
12348,2010-09-27,2011-09-25,5,1658.4,Finland
12349,2010-04-29,2011-11-21,3,3678.69,Italy
12350,2011-02-02,2011-02-02,1,294.4,Norway
12351,2010-11-29,2010-11-29,1,300.93,Unspecified
12352,2010-11-12,2011-11-03,9,1729.54,Norway
12353,2010-10-27,2011-05-19,2,406.76,Bahrain
12354,2011-04-21,2011-04-21,1,1079.4,Spain
12355,2010-05-21,2011-05-09,2,947.61,Bahrain
12356,2010-10-11,2011-11-17,6,5613.68,Portugal
12357,2010-11-16,2011-11-06,2,17437.66,Switzerland
12358,2009-12-08,2011-12-08,5,3447.07,Austria
12359,2009-12-05,2011-10-13,10,8935.94,Cyprus
12360,2010-02-22,2011-10-18,6,3612.89,Austria
12361,2010-01-26,2011-02-25,4,451.25,Belgium
12362,2011-02-17,2011-12-06,10,4737.23,Belgium
12363,2011-04-11,2011-08-22,2,552.0,Unspecified
12364,2011-08-19,2011-12-02,4,1208.1,Belgium
12365,2011-02-21,2011-02-21,1,320.69,Cyprus
12366,2010-03-16,2010-03-16,1,500.24,Cyprus
12367,2011-12-05,2011-12-05,1,150.9,Denmark
12368,2010-03-21,2010-03-21,1,917.7,Cyprus
12369,2010-03-08,2010-10-22,3,1511.15,Austria
12370,2010-02-09,2010-12-17,4,691.82,Austria
12370,2010-12-14,2011-10-19,3,3268.49,Austria
12371,2010-03-04,2011-10-11,4,3347.38,Switzerland
12372,2011-02-16,2011-09-29,3,1196.04,Denmark
12373,2010-02-04,2011-02-01,3,927.65,Austria
12374,2010-04-30,2011-11-14,3,2669.22,Austria
12375,2011-09-02,2011-11-29,2,377.5,Finland
12376,2010-10-18,2010-11-15,2,383.15,Switzerland
12377,2010-04-29,2011-01-28,4,3266.32,Switzerland
12378,2010-05-26,2011-08-02,2,5416.32,Switzerland
12379,2010-06-23,2011-09-19,4,1470.22,Belgium
12380,2010-02-15,2011-11-18,8,7210.65,Belgium
12381,2011-08-12,2011-12-05,3,1474.81,Norway
12383,2010-12-22,2011-06-08,5,1628.56,Belgium
12384,2011-08-10,2011-11-11,2,425.27,Switzerland
12385,2010-11-25,2010-11-25,1,1668.4,Belgium
12386,2010-12-08,2011-01-06,2,660.8,Australia
12387,2010-10-20,2010-10-20,1,143.94,Australia
12388,2010-05-06,2011-11-24,8,3901.11,Australia
12389,2010-02-22,2010-11-02,3,1433.33,Australia
12390,2011-09-21,2011-09-21,1,504.84,Belgium
12391,2010-02-15,2011-11-18,6,2773.42,Cyprus
12392,2010-04-27,2010-04-27,1,234.75,Australia
12393,2010-10-07,2011-09-28,6,2399.45,Australia
12394,2011-05-06,2011-05-06,1,351.08,Belgium
12394,2011-10-07,2011-10-07,1,729.4,Belgium
12395,2010-04-16,2011-11-20,15,4551.27,Belgium
12396,2010-02-03,2010-02-03,1,931.43,RSA
12397,2011-07-27,2011-11-04,2,2214.9,Belgium
12398,2011-10-25,2011-10-25,1,1435.66,Switzerland
12399,2010-03-05,2011-08-12,7,1842.3,Belgium
12400,2010-10-21,2010-10-21,1,205.25,Australia
12401,2011-02-09,2011-02-09,1,69.3,Belgium
12402,2010-02-07,2011-01-20,6,1136.9,Belgium
12403,2010-07-06,2011-10-21,2,947.36,Denmark
12404,2010-01-26,2010-01-26,1,63.24,Finland
12405,2011-07-14,2011-07-14,1,1390.39,Finland
12406,2010-01-11,2011-11-17,5,6390.36,Denmark
12407,2011-03-20,2011-10-21,5,1507.12,Belgium
12408,2010-07-29,2011-11-07,8,3905.77,Belgium
12409,2010-05-23,2011-09-22,7,23419.29,Switzerland
12410,2010-07-25,2011-02-04,3,773.71,Switzerland
12411,2010-10-26,2010-10-26,1,346.9,Australia
12412,2010-06-18,2011-09-26,6,2404.93,Denmark
12413,2011-01-06,2011-10-04,3,686.1,Spain
12413,2010-11-02,2010-11-02,1,185.35,Spain
12414,2010-09-02,2011-05-06,4,532.41,Austria
12415,2010-06-30,2011-11-15,24,144033.37,Australia
12416,2010-02-21,2010-02-21,1,202.56,Australia
12417,2009-12-06,2011-12-06,18,5491.55,Belgium
12417,2010-10-01,2011-04-28,2,526.36,Belgium
12418,2010-03-19,2011-08-19,4,2021.2,Switzerland
12419,2010-10-22,2010-11-19,2,391.01,Spain
12420,2011-10-07,2011-10-07,1,600.39,Cyprus
12421,2010-07-22,2011-11-24,6,874.6,Spain
12422,2009-12-18,2011-09-05,6,1749.65,Australia
12422,2010-05-20,2011-06-24,6,1889.7,Australia
12423,2010-11-17,2011-12-09,9,2038.59,Denmark
12423,2010-08-31,2010-08-31,1,262.8,Denmark
12424,2010-06-09,2011-06-30,4,3340.03,Australia
12425,2010-09-17,2011-09-22,2,1741.41,Portugal
12426,2010-02-15,2011-05-29,2,1201.21,Germany
12427,2010-12-03,2011-11-18,3,949.3,Germany
12428,2011-03-01,2011-11-14,8,6405.26,Finland
12429,2011-04-26,2011-04-26,1,381.98,Denmark
12429,2010-06-11,2011-11-30,7,6597.93,Denmark
12430,2011-10-27,2011-10-27,1,216.4,Norway
12431,2010-03-04,2011-11-04,21,8125.54,Belgium
12431,2010-01-15,2011-10-10,4,2402.43,Belgium
12432,2011-06-20,2011-10-28,4,4359.32,Norway
12433,2010-08-20,2011-12-09,10,20581.26,Norway
12434,2010-11-23,2011-09-16,3,1103.43,Australia
