invoice_no,customer_id,country,order_date,n_line_items,total_quantity,order_value
489434,13085,United Kingdom,2009-12-01,8,166,505.3
489435,13085,United Kingdom,2009-12-01,4,60,145.8
489436,13078,United Kingdom,2009-12-01,19,193,630.33
489437,15362,United Kingdom,2009-12-01,23,145,310.75
489438,18102,United Kingdom,2009-12-01,17,826,2286.24
489439,12682,France,2009-12-01,18,216,372.3
489440,18087,United Kingdom,2009-12-01,2,16,50.4
489441,18087,United Kingdom,2009-12-01,4,102,344.34
489442,13635,United Kingdom,2009-12-01,23,275,382.37
489443,14110,United Kingdom,2009-12-01,7,120,285.06
489445,17519,United Kingdom,2009-12-01,19,280,308.44
489446,13758,United Kingdom,2009-12-01,27,382,996.1
489448,15413,United Kingdom,2009-12-01,4,192,570.24
489450,16321,Australia,2009-12-01,9,100,196.1
489460,16167,United Kingdom,2009-12-01,15,977,485.79
489461,17865,United Kingdom,2009-12-01,26,379,589.33
489462,17592,United Kingdom,2009-12-01,13,38,148.3
489465,13767,United Kingdom,2009-12-01,19,408,1197.8
489488,17238,United Kingdom,2009-12-01,29,80,251.1
489505,15712,United Kingdom,2009-12-01,10,64,255.5
489514,15311,United Kingdom,2009-12-01,32,326,823.02
489517,16329,United Kingdom,2009-12-01,28,138,282.46
489519,17700,United Kingdom,2009-12-01,38,247,696.73
489520,14911,EIRE,2009-12-01,30,293,733.63
489522,15998,United Kingdom,2009-12-01,104,409,700.31
489523,12931,United Kingdom,2009-12-01,1,800,1160.0
489526,12533,Germany,2009-12-01,43,478,821.92
489529,17984,United Kingdom,2009-12-01,45,212,229.46
489531,14871,United Kingdom,2009-12-01,14,54,145.0
489532,13394,United Kingdom,2009-12-01,20,353,304.53
489533,16011,United Kingdom,2009-12-01,19,67,192.75
489536,16393,United Kingdom,2009-12-01,107,216,367.41
489537,14040,United Kingdom,2009-12-01,58,250,633.33
489539,15061,United Kingdom,2009-12-01,17,1598,2887.14
489540,12913,United Kingdom,2009-12-01,5,188,537.96
489542,15061,United Kingdom,2009-12-01,2,264,387.6
489544,14341,United Kingdom,2009-12-01,14,226,281.82
489545,17804,United Kingdom,2009-12-01,32,92,124.95
489546,14156,EIRE,2009-12-01,33,212,584.5
489547,13599,United Kingdom,2009-12-01,22,595,641.45
489550,14156,EIRE,2009-12-01,23,232,482.3
489552,17063,United Kingdom,2009-12-01,25,129,278.61
489556,15719,United Kingdom,2009-12-01,56,176,379.65
489557,12490,France,2009-12-01,20,438,531.94
489558,15793,United Kingdom,2009-12-01,4,154,291.58
489559,17056,United Kingdom,2009-12-01,8,26,128.6
489560,13526,United Kingdom,2009-12-01,26,1585,859.1
489561,14654,United Kingdom,2009-12-01,27,273,246.86
489562,17998,United Kingdom,2009-12-01,39,107,229.6
489564,13526,United Kingdom,2009-12-01,11,326,322.9
489566,17742,United Kingdom,2009-12-01,8,35,218.55
489567,15326,United Kingdom,2009-12-01,20,150,307.8
489569,14478,United Kingdom,2009-12-01,18,312,282.28
489571,15967,United Kingdom,2009-12-01,30,50,156.71
489572,17611,United Kingdom,2009-12-01,83,273,507.49
489573,15051,United Kingdom,2009-12-01,32,306,580.02
489574,13097,United Kingdom,2009-12-01,63,313,551.33
489575,13590,United Kingdom,2009-12-01,22,300,367.28
489576,15984,United Kingdom,2009-12-01,17,178,319.66
489579,16887,United Kingdom,2009-12-01,34,177,219.82
489580,12921,United Kingdom,2009-12-01,8,276,261.0
489581,15945,United Kingdom,2009-12-01,10,137,124.83
489582,14543,United Kingdom,2009-12-01,9,125,293.95
489584,18037,United Kingdom,2009-12-01,1,1,21.95
489585,15662,United Kingdom,2009-12-01,4,67,105.85
489586,15380,United Kingdom,2009-12-01,6,98,263.42
489590,13110,United Kingdom,2009-12-01,27,87,362.78
489593,12836,United Kingdom,2009-12-01,29,95,423.87
489594,15005,United Kingdom,2009-12-01,46,181,322.33
489598,16620,United Kingdom,2009-12-01,50,575,822.37
489599,12758,Portugal,2009-12-01,79,1403,2454.68
489606,17961,United Kingdom,2009-12-01,1,1,2.1
489611,15601,United Kingdom,2009-12-01,1,1,2.95
489613,13585,United Kingdom,2009-12-01,1,1,12.75
489617,13442,United Kingdom,2009-12-01,16,42,198.0
489634,13381,United Kingdom,2009-12-01,1,12,17.4
489635,16763,United Kingdom,2009-12-01,21,173,352.85
489637,17243,United Kingdom,2009-12-01,20,157,535.9
489639,14865,United Kingdom,2009-12-01,1,48,31.2
489640,17345,United Kingdom,2009-12-01,26,600,329.91
489641,13819,United Kingdom,2009-12-01,30,462,622.1
489644,15808,United Kingdom,2009-12-01,24,317,896.54
489645,17191,United Kingdom,2009-12-01,32,97,261.74
489650,13748,United Kingdom,2009-12-01,7,90,173.1
489652,15265,United Kingdom,2009-12-01,17,146,294.14
489654,15750,United Kingdom,2009-12-01,30,115,222.12
489656,17428,United Kingdom,2009-12-01,22,401,1237.3
489657,17428,United Kingdom,2009-12-01,3,32,55.2
489658,15485,United Kingdom,2009-12-01,21,249,828.09
489661,17246,United Kingdom,2009-12-01,4,34,23.48
489662,15485,United Kingdom,2009-12-01,1,25,73.75
489664,14061,United Kingdom,2009-12-01,11,57,374.43
489665,14108,United Kingdom,2009-12-01,10,118,252.3
489666,13648,United Kingdom,2009-12-01,15,203,263.09
489667,16563,United Kingdom,2009-12-01,10,221,538.46
489668,16701,United Kingdom,2009-12-01,8,198,378.12
489669,12842,United Kingdom,2009-12-02,3,168,397.2
489670,14302,United Kingdom,2009-12-02,2,28,114.6
489671,14135,United Kingdom,2009-12-02,8,966,740.3
489672,14831,United Kingdom,2009-12-02,32,421,772.65
489673,14831,United Kingdom,2009-12-02,4,34,61.1
489674,15602,United Kingdom,2009-12-02,17,266,261.3
489675,13777,United Kingdom,2009-12-02,22,1930,4939.22
489676,13777,United Kingdom,2009-12-02,5,840,1210.8
489677,14000,United Kingdom,2009-12-02,2,48,192.0
489678,16823,United Kingdom,2009-12-02,20,113,189.3
489679,16163,United Kingdom,2009-12-02,42,280,795.98
489680,17193,United Kingdom,2009-12-02,1,36,45.0
489681,17998,United Kingdom,2009-12-02,11,183,89.59
489682,15759,United Kingdom,2009-12-02,4,303,125.73
489683,16131,United Kingdom,2009-12-02,46,721,1317.97
489684,14560,United Kingdom,2009-12-02,9,116,266.6
489687,17087,United Kingdom,2009-12-02,12,113,221.53
489688,14894,United Kingdom,2009-12-02,3,54,299.7
489695,16202,United Kingdom,2009-12-02,15,121,306.95
489699,16700,United Kingdom,2009-12-02,25,238,401.7
489702,17511,United Kingdom,2009-12-02,30,2020,3108.64
489705,16700,United Kingdom,2009-12-02,1,4,17.0
489723,14299,United Kingdom,2009-12-02,26,1339,2052.12
489725,17949,United Kingdom,2009-12-02,1,300,216.0
489726,17949,United Kingdom,2009-12-02,1,200,750.0
489727,17949,United Kingdom,2009-12-02,1,450,900.0
489728,14799,United Kingdom,2009-12-02,10,349,180.45
489733,15311,United Kingdom,2009-12-02,2,48,168.0
489743,16550,United Kingdom,2009-12-02,33,320,538.77
489748,12980,United Kingdom,2009-12-02,3,84,754.2
489764,14425,United Kingdom,2009-12-02,14,82,223.1
489765,15353,United Kingdom,2009-12-02,38,91,285.59
489766,17818,United Kingdom,2009-12-02,42,90,130.18
489780,13654,United Kingdom,2009-12-02,8,90,159.98
489782,17189,United Kingdom,2009-12-02,21,148,230.46
489783,13269,United Kingdom,2009-12-02,7,152,162.04
489784,13269,United Kingdom,2009-12-02,4,48,40.8
489785,14653,United Kingdom,2009-12-02,19,250,333.67
489786,17019,United Kingdom,2009-12-02,39,199,216.86
489787,15542,United Kingdom,2009-12-02,63,127,319.54
489788,13564,United Kingdom,2009-12-02,17,38,119.16
489789,15833,United Kingdom,2009-12-02,5,24,80.4
489790,16467,United Kingdom,2009-12-02,2,88,131.12
489791,15542,United Kingdom,2009-12-02,62,90,221.19
489792,14527,United Kingdom,2009-12-02,58,165,923.79
489793,17476,United Kingdom,2009-12-02,16,124,260.36
489794,15287,United Kingdom,2009-12-02,4,55,58.2
489795,14440,United Kingdom,2009-12-02,13,287,935.01
489796,15680,United Kingdom,2009-12-02,19,268,311.5
489797,15581,United Kingdom,2009-12-02,25,142,200.63
489798,13740,United Kingdom,2009-12-02,19,97,311.69
489800,17768,United Kingdom,2009-12-02,31,532,408.07
489801,12948,United Kingdom,2009-12-02,6,144,128.48
489802,15581,United Kingdom,2009-12-02,44,156,174.52
489804,14667,United Kingdom,2009-12-02,15,185,251.17
489805,17377,United Kingdom,2009-12-02,46,227,454.35
489807,15581,United Kingdom,2009-12-02,27,241,180.13
489808,14467,United Kingdom,2009-12-02,17,82,109.84
489809,13457,United Kingdom,2009-12-02,6,68,112.5
