invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,line_total
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085,United Kingdom,59.5
489436,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:06:00,1.65,13078,United Kingdom,19.8
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009-12-01 09:08:00,2.1,15362,United Kingdom,12.6
489446,22112,CHOCOLATE HOT WATER BOTTLE,12,2009-12-01 10:06:00,4.95,13758,United Kingdom,59.4
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2009-12-01 10:06:00,1.95,13758,United Kingdom,19.5
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2009-12-01 10:06:00,1.25,13758,United Kingdom,15.0
489446,20726,LUNCH BAG WOODLAND,10,2009-12-01 10:06:00,1.65,13758,United Kingdom,16.5
489446,20754,RETRO RED SPOTTY WASHING UP GLOVES,12,2009-12-01 10:06:00,2.1,13758,United Kingdom,25.2
489460,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2009-12-01 10:46:00,1.65,16167,United Kingdom,19.8
489488,22086,PAPER CHAIN KIT 50'S CHRISTMAS,5,2009-12-01 10:59:00,2.95,17238,United Kingdom,14.75
489514,21869,POTTING SHED COFFEE MUG,2,2009-12-01 11:21:00,1.25,15311,United Kingdom,2.5
489514,47591D,PINK FAIRY CAKE CHILD'S APRON,50,2009-12-01 11:21:00,1.65,15311,United Kingdom,82.5
489514,21245,GREEN  SPOTTY PLATE,3,2009-12-01 11:21:00,1.69,15311,United Kingdom,5.07
489517,84791,GINGHAM HEART DECORATION,1,2009-12-01 11:34:00,2.95,16329,United Kingdom,2.95
489522,37492C,GREEN BLUE FLOWER PIGGY BANK,1,2009-12-01 11:45:00,4.65,15998,United Kingdom,4.65
489522,21240,BLUE  SPOTTY CUP,4,2009-12-01 11:45:00,0.85,15998,United Kingdom,3.4
489522,20782,CAMOUFLAGE EAR MUFF HEADPHONES,1,2009-12-01 11:45:00,5.49,15998,United Kingdom,5.49
489522,22154,ANGEL DECORATION 3 BUTTONS,6,2009-12-01 11:45:00,0.42,15998,United Kingdom,2.52
489522,22125,UNION JACK HOT WATER BOTTLE,4,2009-12-01 11:45:00,5.95,15998,United Kingdom,23.8
489526,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,3,2009-12-01 11:50:00,5.95,12533,Germany,17.85
489529,21081,SET/20 POSIES PAPER NAPKINS,1,2009-12-01 11:51:00,0.85,17984,United Kingdom,0.85
489533,22118,JOY WOODEN BLOCK LETTERS,1,2009-12-01 12:02:00,4.95,16011,United Kingdom,4.95
489533,84352,SILVER CHRISTMAS TREE BAUBLE STAND,1,2009-12-01 12:02:00,16.95,16011,United Kingdom,16.95
489536,21890,S/6 WOODEN SKITTLES IN COTTON BAG,1,2009-12-01 12:13:00,2.95,16393,United Kingdom,2.95
489539,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,192,2009-12-01 12:18:00,1.45,15061,United Kingdom,278.4
489544,21844,RETRO SPOT MUG,6,2009-12-01 12:20:00,2.95,14341,United Kingdom,17.7
489545,21124,SET/10 BLUE SPOTTY PARTY CANDLES,1,2009-12-01 12:22:00,1.25,17804,United Kingdom,1.25
489547,22348,TEA BAG PLATE RED SPOTTY,12,2009-12-01 12:30:00,0.85,13599,United Kingdom,10.2
489546,84050,PINK HEART SHAPE EGG FRYING PAN,6,2009-12-01 12:30:00,1.65,14156,EIRE,9.9
489556,21493,VINTAGE DESIGN GIFT TAGS,2,2009-12-01 12:47:00,0.85,15719,United Kingdom,1.7
489561,70007,HI TEC ALPINE HAND WARMER,6,2009-12-01 12:57:00,1.65,14654,United Kingdom,9.9
489572,21948,SET OF 6 CAKE CHOPSTICKS,5,2009-12-01 13:29:00,1.25,17611,United Kingdom,6.25
489572,22320,BIRDS MOBILE VINTAGE DESIGN,3,2009-12-01 13:29:00,5.95,17611,United Kingdom,17.85
489571,22296,HEART IVORY TRELLIS LARGE,4,2009-12-01 13:29:00,1.65,15967,United Kingdom,6.6
489572,85055,FRENCH ENAMEL UTENSIL HOLDER,2,2009-12-01 13:29:00,3.75,17611,United Kingdom,7.5
489572,22300,COFFEE MUG DOG + BALL DESIGN,6,2009-12-01 13:29:00,2.55,17611,United Kingdom,15.3
489573,21888,BINGO SET,4,2009-12-01 13:29:00,3.75,15051,United Kingdom,15.0
489574,21481,FAWN BLUE HOT WATER BOTTLE,2,2009-12-01 13:31:00,2.95,13097,United Kingdom,5.9
