stock_code,description,total_quantity_sold,total_revenue,n_orders
22423,REGENCY CAKESTAND 3 TIER,24899,286486.3,3317
85123A,WHITE HANGING HEART T-LIGHT HOLDER,93640,252072.46,4888
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1
85099B,JUMBO BAG RED RETROSPOT,75759,136980.08,2612
84879,ASSORTED COLOUR BIRD ORNAMENT,79913,127074.17,2652
47566,PARTY BUNTING,23607,103880.23,2077
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,81416.73,195
22086,PAPER CHAIN KIT 50'S CHRISTMAS,29477,79594.33,1691
79321,CHILLI LIGHTS,15735,72860.14,922
21137,BLACK RECORD COVER FRAME,19629,67209.44,539
85099F,JUMBO BAG STRAWBERRY,36098,64601.65,1514
82484,WOOD BLACK BOARD ANT WHITE FINISH,10893,60513.09,1048
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,29498,57779.17,525
21621,VINTAGE UNION JACK BUNTING,6542,54815.12,1121
15056N,EDWARDIAN PARASOL NATURAL,11027,54741.46,863
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29447,53168.34,1449
22189,CREAM HEART CARD HOLDER,18113,52627.29,1129
22470,HEART OF WICKER LARGE,17866,52157.68,1743
21623,VINTAGE UNION JACK MEMOBOARD,7158,51465.62,499
23084,RABBIT NIGHT LIGHT,27202,51346.2,801
21733,RED HANGING HEART T-LIGHT HOLDER,17643,50010.85,1631
21931,JUMBO STORAGE BAG SUKI,26239,48255.8,1714
22112,CHOCOLATE HOT WATER BOTTLE,10326,47555.84,1447
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,17294,47240.02,1233
15056BL,EDWARDIAN PARASOL BLACK,9488,46676.22,788
22178,VICTORIAN GLASS HANGING T-LIGHT,37851,46440.91,1442
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24690,45784.63,1680
21181,PLEASE ONE PERSON METAL SIGN,22724,45035.1,1399
22469,HEART OF WICKER SMALL,27182,45020.95,1779
22111,SCOTTIE DOG HOT WATER BOTTLE,9487,44368.05,1457
21843,RED RETROSPOT CAKE STAND,4435,44314.89,984
22386,JUMBO BAG PINK POLKADOT,23934,43967.14,1055
21929,JUMBO BAG PINK VINTAGE PAISLEY,24431,43883.88,1228
21754,HOME BUILDING BLOCK WORD,7468,43837.76,1831
22138,BAKING SET 9 PIECE RETROSPOT,9052,43155.06,1742
21731,RED TOADSTOOL LED NIGHT LIGHT,27867,42913.71,1043
21915,RED  HARMONICA IN BOX,37097,41939.65,884
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,14492,41555.54,644
21175,GIN + TONIC DIET METAL SIGN,19958,41373.38,1385
22457,NATURAL SLATE HEART CHALKBOARD,14508,41203.92,1637
22326,ROUND SNACK BOXES SET OF4 WOODLAND,14855,40883.57,1144
82494L,WOODEN FRAME ANTIQUE WHITE,14707,40870.82,1773
48138,DOORMAT UNION FLAG,6236,40720.3,874
21232,STRAWBERRY CERAMIC TRINKET BOX,34726,40675.38,1818
20727,LUNCH BAG  BLACK SKULL.,25820,40586.2,1997
22502,PICNIC BASKET WICKER 60 PIECES,61,39619.5,2
22328,ROUND SNACK BOXES SET OF 4 FRUITS,14024,37966.84,985
82482,WOODEN PICTURE FRAME WHITE FINISH,15919,37679.6,1658
21166,COOK WITH WINE METAL SIGN,19833,37387.49,1225
20728,LUNCH BAG CARS BLUE,23575,37071.43,1797
22629,SPACEBOY LUNCH BOX,20661,36862.29,1108
22114,HOT WATER BOTTLE TEA AND SYMPATHY,9325,36269.27,1298
84078A,SET/4 WHITE RETRO STORAGE CUBES,1007,36259.65,234
23284,DOORMAT KEEP CALM AND COME IN,5342,35913.85,648
85066,CREAM SWEETHEART MINI CHEST,2997,35889.48,809
20713,JUMBO BAG OWLS,19832,35822.62,920
48194,DOORMAT HEARTS,5894,35815.2,857
23298,SPOTTY BUNTING,7639,35539.25,1003
84029E,RED WOOLLY HOTTIE WHITE HEART.,10299,35261.07,956
22960,JAM MAKING SET WITH JARS,8702,34851.72,903
22720,SET OF 3 CAKE TINS PANTRY DESIGN,7020,33347.8,1146
20726,LUNCH BAG WOODLAND,21115,33333.11,1585
22197,SMALL POPCORN HOLDER,43970,33329.68,1039
20685,DOORMAT RED RETROSPOT,4985,33132.45,758
22699,ROSES REGENCY TEACUP AND SAUCER,12164,33096.0,1056
20725,LUNCH BAG RED RETROSPOT,20800,32940.4,1520
22188,BLACK HEART CARD HOLDER,12382,32379.54,487
21755,LOVE BUILDING BLOCK WORD,5492,32325.16,1485
48187,DOORMAT NEW ENGLAND,5249,32221.33,728
22727,ALARM CLOCK BAKELIKE RED,8856,31993.09,1144
82486,WOOD S/3 CABINET ANT WHITE FINISH,4072,31557.8,1002
22630,DOLLY GIRL LUNCH BOX,17623,31443.49,998
85152,HAND OVER THE CHOCOLATE   SIGN,16404,31138.05,1300
22382,LUNCH BAG SPACEBOY DESIGN,19035,30463.35,1874
21523,DOORMAT FANCY FONT HOME SWEET HOME,4930,30453.78,572
22385,JUMBO BAG SPACEBOY DESIGN,16545,30096.57,971
22622,BOX OF VINTAGE ALPHABET BLOCKS,3119,29731.56,511
20712,JUMBO BAG WOODLAND ANIMALS,15929,29504.5,915
22865,HAND WARMER OWL DESIGN,14623,29433.43,1058
48185,DOORMAT FAIRY CAKE,4786,29323.2,420
82483,WOOD 2 DRAWER CABINET WHITE FINISH,4998,29150.02,1053
20679,EDWARDIAN PARASOL RED,6134,29140.67,622
15036,ASSORTED COLOURS SILK FAN,41078,28829.32,634
47590B,PINK HAPPY BIRTHDAY BUNTING,5691,28793.95,810
20914,SET/5 RED SPOTTY LID GLASS BOWLS,10538,28548.7,787
22379,RECYCLING BAG RETROSPOT,14507,28377.08,1013
22659,LUNCH BOX I LOVE LONDON,16046,28119.82,763
22752,SET 7 BABUSHKA NESTING BOXES,3579,28023.09,577
22139,RETROSPOT TEA SET CERAMIC 11 PC,5791,27806.93,1145
22666,RECIPE BOX PANTRY YELLOW DESIGN,9807,27804.37,1277
21928,JUMBO BAG SCANDINAVIAN PAISLEY,15861,27707.95,721
22077,6 RIBBONS RUSTIC CHARM,16284,27457.34,1361
20725,LUNCH BAG RED SPOTTY,17514,27331.3,1059
22492,MINI PAINT SET VINTAGE,43621,27120.49,618
22467,GUMBALL COAT RACK,11852,27051.53,928
21977,PACK OF 60 PINK PAISLEY CAKE CASES,55270,26733.45,1578
23245,SET OF 3 REGENCY CAKE TINS,5856,26625.68,718
72741,GRAND CHOCOLATECANDLE,19727,26508.95,823
23199,JUMBO BAG APPLES,13887,26451.26,718
84991,60 TEATIME FAIRY CAKE CASES,53495,26121.57,1765
22726,ALARM CLOCK BAKELIKE GREEN,6980,25900.21,1041
22866,HAND WARMER SCOTTY DOG DESIGN,12554,25251.36,939
22867,HAND WARMER BIRD DESIGN,12458,25071.13,907
22624,IVORY KITCHEN SCALES,3014,24946.68,1065
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,109169,24905.87,920
22149,FELTCRAFT 6 FLOWER FRIENDS,12373,24656.19,1189
22386,JUMBO BAG PINK WITH WHITE SPOTS,13777,24472.05,712
23355,HOT WATER BOTTLE KEEP CALM,5338,24426.3,719
47566B,TEA TIME PARTY BUNTING,5646,24414.3,655
85099B,JUMBO BAG RED WHITE SPOTTY,13890,24345.3,465
21485,RETROSPOT HEART HOT WATER BOTTLE,5158,24336.98,815
48138,DOOR MAT UNION FLAG,3738,24253.68,637
22697,GREEN REGENCY TEACUP AND SAUCER,8745,24191.59,933
23201,JUMBO BAG ALPHABET,12540,24175.0,752
20972,PINK CREAM FELT CRAFT TRINKET BOX,20301,24108.77,1224
22507,MEMO BOARD RETROSPOT  DESIGN,5436,23985.32,737
20971,PINK BLUE FELT CRAFT TRINKET BOX,20859,23975.69,1003
47590A,BLUE HAPPY BIRTHDAY BUNTING,4757,23905.67,633
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,39643,23848.11,1100
37503,TEA TIME CAKE STAND IN GIFT BOX,2388,23827.8,465
84836,ZINC METAL HEART DECORATION,19715,23815.18,1244
22158,3 HEARTS HANGING DECORATION RUSTIC,8439,23768.81,646
22551,PLASTERS IN TIN SPACEBOY,14951,23736.15,1156
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,12622,23534.52,408
22197,POPCORN HOLDER,30931,23427.71,632
22961,JAM MAKING SET PRINTED,16617,23416.45,903
82583,HOT BATHS METAL SIGN,11978,23390.22,820
71459,HANGING JAM JAR T-LIGHT HOLDER,29831,23239.43,815
21930,JUMBO STORAGE BAG SKULLS,12544,23232.89,997
22084,PAPER CHAIN KIT EMPIRE,8482,23182.7,704
23173,REGENCY TEAPOT ROSES,2666,23073.32,354
21481,FAWN BLUE HOT WATER BOTTLE,7832,22658.2,834
22383,LUNCH BAG SUKI  DESIGN,14256,22600.4,1073
84946,ANTIQUE SILVER TEA GLASS ETCHED,19508,22588.36,789
82600,NO SINGING METAL SIGN,11412,22510.56,970
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,7986,22435.18,1003
84978,HANGING HEART JAR T-LIGHT HOLDER,19216,22321.06,1087
22835,HOT WATER BOTTLE I AM SO POORLY,4827,22266.63,815
21212,PACK OF 72 RETROSPOT CAKE CASES,46107,22214.26,1348
21231,SWEETHEART CERAMIC TRINKET BOX,18775,22152.0,1171
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,4663,22133.83,385
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6073,22057.21,758
22113,GREY HEART HOT WATER BOTTLE,5909,22032.62,913
84406B,CREAM CUPID HEARTS COAT HANGER,6934,21989.9,724
22728,ALARM CLOCK BAKELIKE PINK,5979,21917.48,772
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,3055,21914.02,544
21212,PACK OF 72 RETRO SPOT CAKE CASES,45156,21853.08,1160
20749,ASSORTED COLOUR MINI CASES,3060,21830.84,726
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,8858,21514.48,599
22087,PAPER BUNTING WHITE LACE,7806,21495.65,663
22556,PLASTERS IN TIN CIRCUS PARADE,13317,21288.41,1100
22090,PAPER BUNTING RETROSPOT,7734,21218.14,658
22607,WOODEN ROUNDERS GARDEN SET,2427,21177.27,643
22969,HOMEMADE JAM SCENTED CANDLES,14588,21020.8,577
22605,WOODEN CROQUET GARDEN SET,1724,21003.31,548
23202,JUMBO BAG VINTAGE LEAF,10716,20963.93,772
21314,SMALL GLASS HEART TRINKET POT,10603,20903.86,711
22554,PLASTERS IN TIN WOODLAND ANIMALS,13071,20879.23,1097
22585,PACK OF 6 BIRDY GIFT TAGS,17551,20854.88,950
22090,PAPER BUNTING RETRO SPOTS,7599,20735.05,607
23203,JUMBO BAG VINTAGE DOILY,10636,20674.68,621
48184,DOORMAT ENGLISH ROSE,3204,20628.04,464
22722,SET OF 6 SPICE TINS PANTRY DESIGN,5378,20553.7,654
20711,JUMBO BAG TOYS,11469,20532.63,671
37449,CERAMIC CAKE STAND + HANGING CAKES,2311,20531.28,410
21790,VINTAGE SNAP CARDS,25765,20458.79,1480
22698,PINK REGENCY TEACUP AND SAUCER,7447,20444.69,746
22617,BAKING SET SPACEBOY DESIGN,4303,20335.11,883
22941,CHRISTMAS LIGHTS 10 REINDEER,2568,20279.4,406
22294,HEART FILIGREE DOVE  SMALL,16698,20234.1,707
21791,VINTAGE HEADS AND TAILS CARD GAME,17143,20204.53,1050
84970S,HANGING HEART ZINC T-LIGHT HOLDER,25767,20113.02,1141
22139,RETRO SPOT TEA SET CERAMIC 11 PC,4313,19965.82,692
22625,RED KITCHEN SCALES,2455,19926.53,781
22570,FELTCRAFT CUSHION RABBIT,5585,19892.66,677
22568,FELTCRAFT CUSHION OWL,5511,19848.46,771
22083,PAPER CHAIN KIT RETRO SPOT,7354,19813.4,490
21524,DOORMAT SPOTTY HOME SWEET HOME,2746,19750.97,636
22569,FELTCRAFT CUSHION BUTTERFLY,5554,19586.68,679
22273,FELTCRAFT DOLL MOLLY,7253,19480.43,701
48188,DOORMAT WELCOME PUPPIES,3362,19301.36,368
85150,LADIES & GENTLEMEN METAL SIGN,8224,19220.28,889
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2586,19091.7,432
22413,METAL SIGN TAKE IT OR LEAVE IT,6876,19045.92,766
22558,CLOTHES PEGS RETROSPOT PACK 24,13869,19029.01,1017
22501,PICNIC BASKET WICKER LARGE,2070,18943.5,497
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17266,18828.98,281
22633,HAND WARMER UNION JACK,9340,18807.96,790
21622,VINTAGE UNION JACK CUSHION COVER,3563,18723.17,550
22384,LUNCH BAG PINK POLKADOT,11621,18565.05,1101
21213,PACK OF 72 SKULL CAKE CASES,38927,18517.13,1156
84949,SILVER HANGING T-LIGHT HOLDER,11965,18517.05,612
21908,CHOCOLATE THIS WAY METAL SIGN,9570,18394.64,801
22499,WOODEN UNION JACK BUNTING,3177,18322.68,632
21479,WHITE SKULL HOT WATER BOTTLE,4930,18319.2,738
23206,LUNCH BAG APPLE DESIGN,11565,18278.25,866
22555,PLASTERS IN TIN STRONGMAN,11397,18240.29,856
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,1727,18185.06,383
22561,WOODEN SCHOOL COLOURING SET,11292,18082.32,838
21174,POTTERING IN THE SHED METAL SIGN,9338,17977.82,855
